Date,Open,High,Low,Close,Adj Close,Volume
1980-12-12,1.546875,1.562500,1.546875,1.562500,0.122553,57600
1980-12-15,1.562500,1.578125,1.562500,1.562500,0.122553,70400
1980-12-16,1.562500,1.578125,1.546875,1.562500,0.122553,57600
1980-12-17,1.562500,1.609375,1.562500,1.593750,0.125004,264800
1980-12-18,1.609375,1.718750,1.609375,1.687500,0.132357,400800
1980-12-19,1.687500,1.703125,1.656250,1.671875,0.131132,50400
1980-12-22,1.671875,1.687500,1.656250,1.687500,0.132357,52000
1980-12-23,1.687500,1.750000,1.687500,1.734375,0.136034,155200
1980-12-24,1.718750,1.718750,1.687500,1.718750,0.134808,670400
1980-12-26,1.718750,1.718750,1.703125,1.718750,0.134808,10400
1980-12-29,1.703125,1.703125,1.687500,1.687500,0.132357,68000
1980-12-30,1.687500,1.687500,1.671875,1.671875,0.131132,52000
1980-12-31,1.687500,1.703125,1.687500,1.687500,0.132357,158400
1981-01-02,1.687500,1.703125,1.687500,1.687500,0.132357,63200
1981-01-05,1.703125,1.781250,1.703125,1.781250,0.139710,88000
1981-01-06,1.781250,1.812500,1.765625,1.781250,0.139710,134400
1981-01-07,1.781250,1.781250,1.625000,1.765625,0.138485,168800
1981-01-08,1.765625,1.781250,1.718750,1.734375,0.136034,311200
1981-01-09,1.734375,1.750000,1.703125,1.734375,0.136034,75200
1981-01-12,1.734375,1.734375,1.687500,1.703125,0.133583,197600
1981-01-13,1.703125,1.703125,1.671875,1.687500,0.132357,168000
1981-01-14,1.687500,1.703125,1.687500,1.687500,0.132357,70400
1981-01-15,1.671875,1.671875,1.640625,1.656250,0.129906,38400
1981-01-16,1.656250,1.718750,1.640625,1.687500,0.132357,96000
1981-01-19,1.687500,1.703125,1.687500,1.703125,0.133583,74400
1981-01-20,1.703125,1.703125,1.671875,1.687500,0.132357,73600
1981-01-21,1.687500,1.718750,1.687500,1.703125,0.133583,38400
1981-01-22,1.703125,1.750000,1.703125,1.703125,0.133583,86400
1981-01-23,1.703125,1.703125,1.687500,1.687500,0.132357,74400
1981-01-26,1.687500,1.687500,1.687500,1.687500,0.132357,35200
1981-01-27,1.687500,1.687500,1.656250,1.656250,0.129906,46400
1981-01-28,1.656250,1.687500,1.656250,1.687500,0.132357,261600
1981-01-29,1.687500,1.703125,1.656250,1.671875,0.131132,68000
1981-01-30,1.687500,1.703125,1.687500,1.687500,0.132357,38400
1981-02-02,1.687500,1.703125,1.656250,1.671875,0.131132,87200
1981-02-03,1.671875,1.718750,1.656250,1.687500,0.132357,278400
1981-02-04,1.718750,1.734375,1.718750,1.718750,0.134808,117600
1981-02-05,1.718750,1.765625,1.718750,1.750000,0.137259,99200
1981-02-06,1.750000,1.812500,1.750000,1.796875,0.140936,142400
1981-02-09,1.796875,1.796875,1.765625,1.781250,0.139710,173600
1981-02-10,1.781250,1.828125,1.781250,1.828125,0.143387,120000
1981-02-11,1.828125,1.859375,1.796875,1.859375,0.145838,108800
1981-02-12,1.859375,1.906250,1.843750,1.843750,0.144613,348000
1981-02-13,1.843750,1.843750,1.812500,1.812500,0.142161,152000
1981-02-17,1.812500,1.828125,1.765625,1.781250,0.139710,76800
1981-02-18,1.781250,1.781250,1.750000,1.765625,0.138485,48000
1981-02-19,1.765625,1.812500,1.765625,1.765625,0.138485,178400
1981-02-20,1.765625,1.812500,1.765625,1.812500,0.142161,54400
1981-02-23,1.828125,1.875000,1.828125,1.843750,0.144613,52000
1981-02-24,1.843750,1.875000,1.828125,1.859375,0.145838,90400
1981-02-25,1.843750,1.843750,1.828125,1.843750,0.144613,120000
1981-02-26,1.843750,1.843750,1.828125,1.843750,0.144613,32000
1981-02-27,1.843750,1.859375,1.843750,1.859375,0.145838,115200
1981-03-02,1.843750,1.843750,1.812500,1.828125,0.143387,91200
1981-03-03,1.828125,1.843750,1.828125,1.828125,0.143387,312800
1981-03-04,1.843750,1.906250,1.843750,1.906250,0.149515,308000
1981-03-05,1.906250,1.921875,1.890625,1.906250,0.149515,216800
1981-03-06,1.906250,1.906250,1.875000,1.890625,0.148289,240800
1981-03-09,1.890625,1.890625,1.843750,1.843750,0.144613,104000
1981-03-10,1.859375,1.875000,1.859375,1.859375,0.145838,125600
1981-03-11,1.875000,1.875000,1.875000,1.875000,0.147063,155200
1981-03-12,1.875000,1.875000,1.859375,1.875000,0.147063,32000
1981-03-13,1.890625,1.906250,1.890625,1.906250,0.149515,122400
1981-03-16,1.906250,1.906250,1.890625,1.906250,0.149515,43200
1981-03-17,1.906250,1.968750,1.906250,1.937500,0.151966,204800
1981-03-18,1.937500,1.953125,1.937500,1.953125,0.153191,119200
1981-03-19,1.953125,1.968750,1.937500,1.968750,0.154417,129600
1981-03-20,1.968750,1.984375,1.968750,1.984375,0.155642,295200
1981-03-23,1.984375,2.046875,1.984375,2.031250,0.159319,406400
1981-03-24,2.031250,2.062500,2.031250,2.062500,0.161770,729600
1981-03-25,2.062500,2.078125,2.046875,2.078125,0.162995,309600
1981-03-26,2.078125,2.078125,2.062500,2.078125,0.162995,156000
1981-03-27,2.078125,2.078125,2.046875,2.046875,0.160544,166400
1981-03-30,2.046875,2.046875,2.015625,2.015625,0.158093,99200
1981-03-31,2.031250,2.078125,2.031250,2.062500,0.161770,247200
1981-04-01,2.062500,2.078125,2.046875,2.046875,0.160544,287200
1981-04-02,2.046875,2.062500,2.015625,2.031250,0.159319,82400
1981-04-03,2.046875,2.062500,2.046875,2.046875,0.160544,136800
1981-04-06,2.046875,2.046875,2.031250,2.031250,0.159319,120000
1981-04-07,2.031250,2.031250,2.015625,2.031250,0.159319,84800
1981-04-08,2.031250,2.046875,2.000000,2.000000,0.156868,630400
1981-04-09,2.015625,2.031250,2.015625,2.031250,0.159319,153600
1981-04-10,2.031250,2.046875,2.015625,2.015625,0.158093,207200
1981-04-13,2.015625,2.015625,1.968750,1.984375,0.155642,124000
1981-04-14,1.984375,2.000000,1.984375,1.984375,0.155642,179200
1981-04-15,1.984375,2.015625,1.984375,2.015625,0.158093,264800
1981-04-16,2.015625,2.046875,2.015625,2.046875,0.160544,70400
1981-04-20,2.031250,2.031250,2.000000,2.000000,0.156868,224000
1981-04-21,2.015625,2.031250,2.015625,2.015625,0.158093,247200
