Date,Open,High,Low,Close,Adj Close,Volume
1985-04-18,0.169753,0.169753,0.166667,0.166667,0.118540,15957000
1985-04-19,0.168210,0.169753,0.168210,0.168210,0.119638,13064400
1985-04-22,0.166667,0.166667,0.166667,0.166667,0.118540,2890800
1985-04-23,0.166667,0.166667,0.163580,0.163580,0.116345,5718600
1985-04-24,0.163580,0.165123,0.163580,0.163580,0.116345,2122200
1985-04-25,0.157407,0.157407,0.155864,0.155864,0.110857,6172200
1985-04-26,0.155864,0.155864,0.152778,0.152778,0.108662,2381400
1985-04-29,0.151235,0.151235,0.148148,0.148148,0.105369,2502000
1985-04-30,0.148148,0.152778,0.148148,0.148148,0.105369,2745000
1985-05-01,0.143519,0.143519,0.140432,0.140432,0.099881,5029200
1985-05-02,0.140432,0.141975,0.138889,0.138889,0.098783,1805400
1985-05-03,0.143519,0.148148,0.143519,0.143519,0.102076,1740600
1985-05-06,0.146605,0.151235,0.146605,0.146605,0.104271,217800
1985-05-07,0.148148,0.152778,0.148148,0.148148,0.105369,1983600
1985-05-08,0.148148,0.152778,0.148148,0.148148,0.105369,307800
1985-05-09,0.155864,0.163580,0.155864,0.155864,0.110857,1701000
1985-05-10,0.160494,0.163580,0.160494,0.160494,0.114150,2356200
1985-05-13,0.162037,0.165123,0.162037,0.162037,0.115247,1247400
1985-05-14,0.162037,0.165123,0.162037,0.162037,0.115247,437400
1985-05-15,0.162037,0.163580,0.162037,0.162037,0.115247,1701000
1985-05-16,0.166667,0.171296,0.166667,0.166667,0.118540,3101400
1985-05-17,0.179012,0.180556,0.179012,0.179012,0.127321,3101400
1985-05-20,0.179012,0.179012,0.175926,0.175926,0.125126,1895400
1985-05-21,0.175926,0.175926,0.168210,0.168210,0.119638,1879200
1985-05-22,0.171296,0.179012,0.171296,0.171296,0.121833,2948400
1985-05-23,0.171296,0.175926,0.168210,0.168210,0.119638,2907000
1985-05-24,0.168210,0.175926,0.168210,0.168210,0.119638,784800
1985-05-28,0.171296,0.175926,0.171296,0.171296,0.121833,574200
