Date,Open,High,Low,Close,Adj Close,Volume
1984-05-04,2.222222,2.250000,2.222222,2.222222,2.046748,2578800
1984-05-07,2.222222,2.250000,2.194444,2.194444,2.021164,102600
1984-05-08,2.194444,2.222222,2.194444,2.194444,2.021164,137100
1984-05-09,2.194444,2.222222,2.194444,2.194444,2.021164,741600
1984-05-10,2.194444,2.194444,2.138889,2.138889,1.969995,303600
1984-05-11,2.138889,2.166667,2.111111,2.111111,1.944411,228000
1984-05-14,2.111111,2.194444,2.111111,2.111111,1.944411,49800
1984-05-15,2.166667,2.222222,2.166667,2.166667,1.995579,43500
1984-05-16,2.166667,2.222222,2.166667,2.166667,1.995579,35100
1984-05-17,2.166667,2.194444,2.166667,2.166667,1.995579,65100
1984-05-18,1.944444,1.944444,1.888889,1.888889,1.739736,384600
1984-05-21,1.888889,1.944444,1.888889,1.888889,1.739736,225300
1984-05-22,1.888889,1.944444,1.888889,1.888889,1.739736,12000
1984-05-23,1.916667,1.944444,1.916667,1.916667,1.765320,14700
1984-05-24,1.916667,1.944444,1.916667,1.916667,1.765320,23400
1984-05-25,1.916667,1.944444,1.916667,1.916667,1.765320,158400
1984-05-29,1.916667,1.972222,1.916667,1.916667,1.765320,19200
1984-05-30,1.916667,1.944444,1.916667,1.916667,1.765320,33300
1984-05-31,1.916667,1.944444,1.916667,1.916667,1.765320,300
1984-06-01,1.972222,2.027778,1.972222,1.972222,1.816489,102900
1984-06-04,2.000000,2.055556,2.000000,2.000000,1.842073,7200
1984-06-05,2.027778,2.055556,2.027778,2.027778,1.867657,103500
1984-06-06,2.027778,2.055556,2.027778,2.027778,1.867657,148800
1984-06-07,2.083333,2.138889,2.083333,2.083333,1.918826,41400
1984-06-08,2.083333,2.138889,2.083333,2.083333,1.918826,117300
1984-06-11,2.083333,2.166667,2.083333,2.083333,1.918826,120000
1984-06-12,2.111111,2.166667,2.111111,2.111111,1.944411,126300
1984-06-13,2.111111,2.194444,2.111111,2.111111,1.944411,72900
1984-06-14,2.111111,2.222222,2.111111,2.111111,1.944411,10200
1984-06-15,2.111111,2.222222,2.111111,2.111111,1.944411,1200
1984-06-18,2.111111,2.222222,2.111111,2.111111,1.944411,4500
1984-06-19,2.138889,2.222222,2.138889,2.138889,1.969995,5700
1984-06-20,2.138889,2.194444,2.138889,2.138889,1.969995,20700
1984-06-21,2.138889,2.194444,2.138889,2.138889,1.969995,10800
1984-06-22,2.138889,2.194444,2.138889,2.138889,1.969995,14700
1984-06-25,2.138889,2.166667,2.111111,2.111111,1.944411,10800
1984-06-26,2.111111,2.166667,2.055556,2.055556,1.893242,15300
1984-06-27,2.055556,2.138889,2.055556,2.055556,1.893242,2700
1984-06-28,2.055556,2.055556,2.000000,2.000000,1.842073,60300
1984-06-29,2.000000,2.055556,2.000000,2.000000,1.842073,3600
1984-07-02,2.000000,2.027778,2.000000,2.000000,1.842073,3600
1984-07-03,1.944444,1.944444,1.888889,1.888889,1.739736,9000
1984-07-05,1.888889,1.944444,1.888889,1.888889,1.739736,3900
1984-07-06,1.888889,1.944444,1.888889,1.888889,1.739736,4500
1984-07-09,1.888889,1.916667,1.833333,1.833333,1.688567,6600
1984-07-10,1.833333,1.916667,1.833333,1.833333,1.688567,900
1984-07-11,1.861111,1.944444,1.861111,1.861111,1.714151,48000
1984-07-12,1.861111,1.916667,1.861111,1.861111,1.714151,382800
1984-07-13,1.861111,1.944444,1.861111,1.861111,1.714151,45000
1984-07-16,1.861111,1.944444,1.861111,1.861111,1.714151,44400
1984-07-17,1.861111,1.944444,1.861111,1.861111,1.714151,1200
1984-07-18,1.888889,1.944444,1.888889,1.888889,1.739736,2700
1984-07-19,1.916667,2.000000,1.916667,1.916667,1.765320,74700
1984-07-20,1.916667,2.000000,1.916667,1.916667,1.765320,13500
1984-07-23,1.916667,1.972222,1.916667,1.916667,1.765320,11700
1984-07-24,1.916667,1.972222,1.916667,1.916667,1.765320,4800
1984-07-25,1.916667,1.972222,1.916667,1.916667,1.765320,9000
1984-07-26,1.916667,1.972222,1.916667,1.916667,1.765320,1200
1984-07-27,1.916667,1.972222,1.916667,1.916667,1.765320,12900
1984-07-30,1.916667,1.972222,1.888889,1.888889,1.739736,26100
1984-07-31,1.888889,1.972222,1.888889,1.888889,1.739736,2100
1984-08-01,1.888889,1.972222,1.888889,1.888889,1.739736,13500
1984-08-02,1.916667,1.972222,1.916667,1.916667,1.765320,112800
1984-08-03,2.027778,2.083333,2.027778,2.027778,1.867657,177600
1984-08-06,2.138889,2.194444,2.138889,2.138889,1.969995,56100
1984-08-07,2.138889,2.194444,2.111111,2.111111,1.944411,38700
1984-08-08,2.111111,2.194444,2.111111,2.111111,1.944411,15600
1984-08-09,2.111111,2.194444,2.111111,2.111111,1.944411,111000
1984-08-10,2.111111,2.222222,2.111111,2.111111,1.944411,159300
1984-08-13,2.166667,2.222222,2.166667,2.166667,1.995579,49500
1984-08-14,2.166667,2.222222,2.166667,2.166667,1.995579,10800
1984-08-15,2.166667,2.222222,2.166667,2.166667,1.995579,79500
1984-08-16,2.166667,2.222222,2.166667,2.166667,1.995579,106200
1984-08-17,2.166667,2.222222,2.166667,2.166667,1.995579,40800
1984-08-20,2.166667,2.222222,2.166667,2.166667,1.995579,29700
1984-08-21,2.166667,2.222222,2.166667,2.166667,1.995579,57900
