Date,Open,High,Low,Close,Adj Close,Volume
1980-12-12,7.022510,7.261200,7.022510,7.236075,4.305326,688500
1980-12-15,7.286325,7.411952,7.286325,7.311451,4.350173,631800
1980-12-16,7.311451,7.424514,7.085323,7.198387,4.282903,1269600
1980-12-17,7.085323,7.085323,6.934572,7.072761,4.208156,1326300
1980-12-18,7.072761,7.135574,7.035073,7.035073,4.185732,1247700
1980-12-19,7.022510,7.022510,6.871759,6.896884,4.103513,1650700
1980-12-22,6.896884,6.959697,6.834071,6.947134,4.157647,1248700
1980-12-23,6.934572,6.934572,6.834071,6.859196,4.105018,433800
1980-12-24,6.909447,6.972260,6.909447,6.959697,4.165166,252700
1980-12-26,7.035073,7.261200,7.035073,7.261200,4.345603,189000
1980-12-29,7.261200,7.261200,7.060198,7.060198,4.225309,161100
1980-12-30,7.060198,7.223512,7.060198,7.223512,4.323046,312400
1980-12-31,7.236075,7.336576,7.236075,7.336576,4.390715,355200
1981-01-02,7.336576,7.336576,7.236075,7.261200,4.345603,372100
1981-01-05,7.261200,7.311451,7.210950,7.236075,4.330568,566100
1981-01-06,7.236075,7.236075,7.022510,7.085323,4.240345,1016800
1981-01-07,6.984822,6.984822,6.871759,6.922009,4.142610,1897400
1981-01-08,6.922009,6.934572,6.846633,6.859196,4.105018,594000
1981-01-09,6.859196,6.934572,6.783820,6.783820,4.059907,806900
1981-01-12,6.783820,6.846633,6.607944,6.645631,3.977205,2358100
1981-01-13,6.595381,6.595381,6.507442,6.545130,3.917059,1060600
1981-01-14,6.545130,6.620506,6.532568,6.532568,3.909538,409900
1981-01-15,6.532568,6.557693,6.494880,6.557693,3.924578,272600
1981-01-16,6.557693,6.633069,6.557693,6.607944,3.954648,212900
1981-01-19,6.607944,6.633069,6.545130,6.545130,3.917059,492500
1981-01-20,6.545130,6.633069,6.532568,6.532568,3.909538,344200
1981-01-21,6.532568,6.557693,6.457192,6.520005,3.902022,496400
1981-01-22,6.520005,6.557693,6.494880,6.532568,3.909538,514400
1981-01-23,6.532568,6.670757,6.532568,6.645631,3.977205,362100
1981-01-26,6.645631,6.645631,6.532568,6.645631,3.977205,363100
1981-01-27,6.670757,6.746132,6.670757,6.733570,4.029831,271600
1981-01-28,6.783820,6.821508,6.783820,6.796383,4.067426,188000
1981-01-29,6.783820,6.783820,6.733570,6.746132,4.037352,262600
1981-01-30,6.733570,6.733570,6.482317,6.482317,3.879464,192000
1981-02-02,6.432066,6.432066,6.319003,6.331566,3.789247,496400
1981-02-03,6.331566,6.557693,6.331566,6.557693,3.924578,557200
1981-02-04,6.557693,6.633069,6.507442,6.595381,3.947134,571100
1981-02-05,6.595381,6.834071,6.595381,6.771258,4.052391,594000
1981-02-06,6.846633,6.972260,6.846633,6.934572,4.150126,805900
1981-02-09,6.934572,6.984822,6.884321,6.896884,4.127572,198900
1981-02-10,6.896884,6.934572,6.846633,6.896884,4.127572,191000
1981-02-11,6.859196,6.859196,6.796383,6.808946,4.074942,327300
1981-02-12,6.808946,6.834071,6.721007,6.783820,4.059907,411900
1981-02-13,6.758695,6.758695,6.683319,6.721007,4.022315,423800
1981-02-17,6.721007,6.771258,6.683319,6.683319,3.999760,583000
1981-02-18,6.658194,6.658194,6.532568,6.545130,3.917059,790000
1981-02-19,6.545130,6.557693,6.306440,6.306440,3.774209,1100400
1981-02-20,6.306440,6.306440,6.080313,6.105438,3.653916,1055700
1981-02-23,6.105438,6.155689,6.080313,6.155689,3.683988,978000
1981-02-24,6.155689,6.243627,6.155689,6.155689,3.683988,361100
1981-02-25,6.155689,6.168252,5.715997,6.042625,3.616324,2333300
1981-02-26,6.042625,6.155689,6.004937,6.118001,3.661436,1966100
1981-02-27,6.193377,6.331566,6.193377,6.319003,3.781727,926300
1981-03-02,6.319003,6.457192,6.319003,6.419504,3.841874,398900
1981-03-03,6.419504,6.444629,6.218502,6.218502,3.721582,317400
1981-03-04,6.218502,6.256190,6.105438,6.105438,3.653916,1020800
1981-03-05,6.105438,6.143126,6.030063,6.030063,3.608806,1553100
1981-03-06,6.030063,6.180814,6.004937,6.180814,3.699028,585000
1981-03-09,6.180814,6.381816,6.180814,6.319003,3.781727,374100
1981-03-10,6.319003,6.482317,6.319003,6.432066,3.849394,786000
1981-03-11,6.419504,6.419504,6.331566,6.381816,3.819318,415900
1981-03-12,6.419504,6.708445,6.419504,6.695882,4.007280,395900
1981-03-13,6.695882,6.808946,6.570256,6.570256,3.932095,1053700
1981-03-16,6.570256,6.783820,6.545130,6.783820,4.059907,431800
1981-03-17,6.783820,6.821508,6.633069,6.733570,4.029831,528300
1981-03-18,6.733570,6.959697,6.670757,6.922009,4.142610,848700
1981-03-19,6.922009,7.035073,6.859196,6.884321,4.120054,824800
1981-03-20,6.884321,6.997385,6.884321,6.909447,4.135092,563100
