Date,Open,High,Low,Close,Adj Close,Volume
1980-12-12,5.820200,5.988091,5.820200,5.988091,2.910504,224800
1980-12-15,6.044055,6.183963,6.044055,6.128000,2.978506,189200
1980-12-16,6.128000,6.141991,5.960109,6.044055,2.937706,185600
1980-12-17,6.044055,6.267908,6.016073,6.267908,3.046507,857600
1980-12-18,6.267908,6.337862,6.169972,6.253917,3.039710,278400
1980-12-19,6.253917,6.323872,6.239926,6.281899,3.053309,159600
1980-12-22,6.281899,6.435799,6.267908,6.435799,3.128112,100000
1980-12-23,6.435799,6.477771,6.155982,6.169972,2.998907,54400
1980-12-24,6.183963,6.211945,6.183963,6.211945,3.019309,4400
1980-12-26,6.225936,6.267908,6.225936,6.267908,3.046507,16800
1980-12-29,6.267908,6.309881,6.211945,6.253917,3.039710,62400
1980-12-30,6.253917,6.253917,6.169972,6.183963,3.005708,18400
1980-12-31,6.183963,6.197954,6.016073,6.016073,2.924105,226000
1981-01-02,6.016073,6.253917,5.988091,6.225936,3.026109,32800
1981-01-05,6.225936,6.295890,6.225936,6.267908,3.046507,149200
1981-01-06,6.267908,6.337862,6.128000,6.141991,2.985307,544000
1981-01-07,6.141991,6.239926,5.610338,6.239926,3.032908,1163200
1981-01-08,6.239926,6.295890,5.960109,6.072036,2.951306,342800
1981-01-09,6.072036,6.183963,5.960109,6.155982,2.992107,259600
1981-01-12,6.155982,6.183963,6.072036,6.072036,2.951306,176800
1981-01-13,6.016073,6.016073,5.904146,5.904146,2.869701,262400
1981-01-14,5.904146,6.128000,5.904146,6.058045,2.944506,331200
1981-01-15,6.072036,6.267908,6.072036,6.211945,3.019309,537600
1981-01-16,6.267908,6.491762,6.267908,6.491762,3.155314,150800
1981-01-19,6.491762,6.491762,6.393826,6.393826,3.107710,45200
1981-01-20,6.393826,6.491762,6.155982,6.155982,2.992107,146400
1981-01-21,6.044055,6.044055,5.904146,5.960109,2.896904,344800
1981-01-22,5.960109,5.974100,5.792219,5.974100,2.903703,101600
1981-01-23,5.974100,6.141991,5.904146,5.904146,2.869701,564400
1981-01-26,5.890155,5.890155,5.736255,5.820200,2.828901,102400
1981-01-27,5.820200,5.988091,5.806210,5.932127,2.883303,132000
1981-01-28,5.932127,5.932127,5.820200,5.834191,2.835702,62400
1981-01-29,5.834191,6.016073,5.778228,5.778228,2.808501,226000
1981-01-30,5.778228,5.820200,5.484420,5.484420,2.665696,126800
1981-02-02,5.484420,5.596347,5.330520,5.372493,2.611294,227600
1981-02-03,5.372493,5.400475,5.204602,5.316529,2.584093,237600
1981-02-04,5.316529,5.358502,5.232584,5.260566,2.556890,199200
1981-02-05,5.260566,5.400475,5.260566,5.372493,2.611294,476000
1981-02-06,5.372493,5.596347,5.330520,5.596347,2.720099,335600
1981-02-09,5.596347,5.680292,5.512402,5.568365,2.706497,83600
1981-02-10,5.526392,5.526392,5.344511,5.428456,2.638493,108800
1981-02-11,5.428456,5.484420,5.372493,5.484420,2.665696,206000
1981-02-12,5.442447,5.442447,5.330520,5.386484,2.618095,203600
1981-02-13,5.386484,5.400475,5.288548,5.316529,2.584093,294800
1981-02-17,5.316529,5.372493,5.288548,5.358502,2.604493,104400
1981-02-18,5.428456,5.540383,5.428456,5.526392,2.686096,330400
1981-02-19,5.526392,5.596347,5.316529,5.316529,2.584093,821600
1981-02-20,5.316529,5.428456,5.316529,5.428456,2.638493,294800
1981-02-23,5.428456,5.652310,5.372493,5.596347,2.720099,95200
1981-02-24,5.596347,5.694283,5.596347,5.610338,2.726898,90800
1981-02-25,5.610338,5.820200,5.540383,5.736255,2.788100,210800
1981-02-26,5.736255,6.044055,5.708273,5.792219,2.815301,1498800
1981-02-27,5.792219,5.904146,5.708273,5.904146,2.869701,698400
1981-03-02,5.904146,6.044055,5.820200,5.848182,2.842501,287600
1981-03-03,5.806210,5.806210,5.694283,5.708273,2.774500,235600
1981-03-04,5.708273,5.750246,5.624329,5.624329,2.733697,87200
1981-03-05,5.624329,5.638319,5.498411,5.624329,2.733697,97200
1981-03-06,5.596347,5.596347,5.498411,5.526392,2.686096,32800
1981-03-09,5.568365,5.680292,5.568365,5.568365,2.706497,112400
1981-03-10,5.526392,5.526392,5.372493,5.372493,2.611294,92000
1981-03-11,5.372493,5.372493,5.218593,5.218593,2.536489,87200
1981-03-12,5.218593,5.344511,5.176620,5.344511,2.597693,458000
1981-03-13,5.344511,5.428456,5.316529,5.344511,2.597693,197200
1981-03-16,5.344511,5.372493,5.316529,5.358502,2.604493,127600
1981-03-17,5.358502,5.400475,5.176620,5.330520,2.590892,158800
1981-03-18,5.330520,5.372493,5.260566,5.288548,2.570492,41600
1981-03-19,5.260566,5.260566,5.078685,5.120657,2.488889,102400
1981-03-20,5.120657,5.120657,4.952767,5.078685,2.468488,284000
1981-03-23,5.078685,5.316529,5.036712,5.274557,2.563691,144400
1981-03-24,5.274557,5.358502,5.260566,5.288548,2.570492,97200
1981-03-25,5.288548,5.288548,5.204602,5.288548,2.570492,160800
1981-03-26,5.288548,5.428456,5.288548,5.288548,2.570492,476800
1981-03-27,5.288548,5.302538,5.190611,5.190611,2.522891,283200
1981-03-30,5.190611,5.232584,5.176620,5.176620,2.516090,55200
1981-03-31,5.204602,5.344511,5.204602,5.344511,2.597693,197200
1981-04-01,5.344511,5.428456,5.316529,5.414465,2.631694,125600
1981-04-02,5.414465,5.540383,5.400475,5.540383,2.692896,322400
1981-04-03,5.582356,5.876164,5.582356,5.876164,2.856101,214400
1981-04-06,5.848182,5.848182,5.624329,5.736255,2.788100,70400
1981-04-07,5.736255,5.764237,5.568365,5.568365,2.706497,118800
1981-04-08,5.568365,5.652310,5.554374,5.582356,2.713297,182800
1981-04-09,5.582356,5.652310,5.568365,5.568365,2.706497,623600
1981-04-10,5.540383,5.540383,5.484420,5.498411,2.672498,159600
1981-04-13,5.498411,5.540383,5.428456,5.456438,2.652094,601200
1981-04-14,5.456438,5.540383,5.344511,5.372493,2.611294,74000
1981-04-15,5.358502,5.358502,5.204602,5.358502,2.604493,203600
