Date,Open,High,Low,Close,Adj Close,Volume
1980-12-12,0.146484,0.148438,0.146484,0.146484,0.003095,8153600
1980-12-15,0.152344,0.154297,0.152344,0.152344,0.003219,6643200
1980-12-16,0.152344,0.152344,0.148438,0.148438,0.003136,6630400
1980-12-17,0.146484,0.146484,0.142578,0.142578,0.003013,4672000
1980-12-18,0.146484,0.150391,0.146484,0.146484,0.003095,11251200
1980-12-19,0.152344,0.154297,0.152344,0.152344,0.003219,10035200
1980-12-22,0.152344,0.156250,0.152344,0.152344,0.003219,1856000
1980-12-23,0.156250,0.160156,0.156250,0.156250,0.003301,5696000
1980-12-24,0.162109,0.166016,0.162109,0.162109,0.003425,2444800
1980-12-26,0.164063,0.167969,0.164063,0.164063,0.003467,1459200
1980-12-29,0.164063,0.166016,0.162109,0.162109,0.003425,1740800
1980-12-30,0.166016,0.167969,0.166016,0.166016,0.003508,4364800
1980-12-31,0.166016,0.167969,0.164063,0.164063,0.003467,2918400
1981-01-02,0.167969,0.171875,0.167969,0.167969,0.003549,1574400
1981-01-05,0.174805,0.177734,0.174805,0.174805,0.003694,5824000
1981-01-06,0.175781,0.177734,0.175781,0.175781,0.003714,6950400
1981-01-07,0.167969,0.167969,0.166016,0.166016,0.003508,8806400
1981-01-08,0.164063,0.164063,0.162109,0.162109,0.003425,3302400
1981-01-09,0.162109,0.164063,0.160156,0.160156,0.003384,2470400
1981-01-12,0.162109,0.166016,0.162109,0.162109,0.003425,3353600
1981-01-13,0.166016,0.169922,0.166016,0.166016,0.003508,4467200
1981-01-14,0.171875,0.175781,0.171875,0.171875,0.003632,7923200
1981-01-15,0.171875,0.173828,0.171875,0.171875,0.003632,2521600
1981-01-16,0.171875,0.175781,0.171875,0.171875,0.003632,3328000
1981-01-19,0.171875,0.173828,0.171875,0.171875,0.003632,4032000
1981-01-20,0.169922,0.169922,0.166016,0.166016,0.003508,3507200
1981-01-21,0.166016,0.167969,0.164063,0.164063,0.003467,985600
1981-01-22,0.162109,0.162109,0.156250,0.156250,0.003301,1318400
1981-01-23,0.160156,0.164063,0.160156,0.160156,0.003384,1382400
1981-01-26,0.160156,0.160156,0.156250,0.156250,0.003301,1126400
1981-01-27,0.156250,0.158203,0.156250,0.156250,0.003301,857600
1981-01-28,0.156250,0.158203,0.156250,0.156250,0.003301,1164800
1981-01-29,0.156250,0.160156,0.156250,0.156250,0.003301,2521600
1981-01-30,0.154297,0.154297,0.150391,0.150391,0.003178,832000
1981-02-02,0.150391,0.150391,0.146484,0.146484,0.003095,2060800
1981-02-03,0.146484,0.150391,0.146484,0.146484,0.003095,1139200
1981-02-04,0.146484,0.150391,0.146484,0.146484,0.003095,2060800
1981-02-05,0.150391,0.152344,0.150391,0.150391,0.003178,3878400
1981-02-06,0.150391,0.154297,0.150391,0.150391,0.003178,1216000
1981-02-09,0.150391,0.152344,0.146484,0.146484,0.003095,1139200
1981-02-10,0.146484,0.150391,0.146484,0.146484,0.003095,2176000
1981-02-11,0.146484,0.148438,0.142578,0.142578,0.003013,1254400
1981-02-12,0.142578,0.148438,0.142578,0.142578,0.003013,217600
1981-02-13,0.142578,0.146484,0.140625,0.140625,0.002971,921600
1981-02-17,0.140625,0.144531,0.140625,0.140625,0.002971,806400
1981-02-18,0.144531,0.148438,0.144531,0.144531,0.003054,2201600
1981-02-19,0.148438,0.152344,0.148438,0.148438,0.003136,1881600
1981-02-20,0.148438,0.152344,0.146484,0.146484,0.003095,1536000
1981-02-23,0.146484,0.150391,0.146484,0.146484,0.003095,537600
1981-02-24,0.148438,0.154297,0.148438,0.148438,0.003136,2009600
1981-02-25,0.148438,0.152344,0.148438,0.148438,0.003136,537600
1981-02-26,0.150391,0.154297,0.150391,0.150391,0.003178,844800
1981-02-27,0.150391,0.156250,0.150391,0.150391,0.003178,755200
1981-03-02,0.150391,0.156250,0.150391,0.150391,0.003178,896000
1981-03-03,0.154297,0.158203,0.154297,0.154297,0.003260,3801600
1981-03-04,0.154297,0.156250,0.154297,0.154297,0.003260,2508800
1981-03-05,0.154297,0.156250,0.152344,0.152344,0.003219,691200
1981-03-06,0.152344,0.154297,0.150391,0.150391,0.003178,1638400
1981-03-09,0.150391,0.152344,0.148438,0.148438,0.003136,972800
1981-03-10,0.140625,0.140625,0.136719,0.136719,0.002889,1433600
1981-03-11,0.138672,0.142578,0.138672,0.138672,0.002930,1830400
1981-03-12,0.140625,0.144531,0.140625,0.140625,0.002971,3904000
1981-03-13,0.142578,0.146484,0.142578,0.142578,0.003013,729600
1981-03-16,0.142578,0.144531,0.138672,0.138672,0.002930,921600
1981-03-17,0.138672,0.140625,0.138672,0.138672,0.002930,832000
1981-03-18,0.138672,0.140625,0.136719,0.136719,0.002889,2022400
1981-03-19,0.136719,0.138672,0.134766,0.134766,0.002848,3558400
1981-03-20,0.136719,0.138672,0.136719,0.136719,0.002889,1728000
1981-03-23,0.136719,0.140625,0.136719,0.136719,0.002889,2688000
1981-03-24,0.138672,0.140625,0.138672,0.138672,0.002930,3264000
1981-03-25,0.138672,0.140625,0.136719,0.136719,0.002889,1241600
1981-03-26,0.138672,0.142578,0.138672,0.138672,0.002930,3379200
1981-03-27,0.140625,0.142578,0.140625,0.140625,0.002971,1395200
1981-03-30,0.144531,0.148438,0.144531,0.144531,0.003054,3136000
1981-03-31,0.146484,0.152344,0.146484,0.146484,0.003095,3955200
1981-04-01,0.156250,0.160156,0.156250,0.156250,0.003301,3046400
1981-04-02,0.156250,0.160156,0.156250,0.156250,0.003301,4915200
1981-04-03,0.160156,0.162109,0.160156,0.160156,0.003384,1369600
1981-04-06,0.160156,0.160156,0.156250,0.156250,0.003301,2752000
1981-04-07,0.156250,0.158203,0.156250,0.156250,0.003301,1433600
1981-04-08,0.156250,0.160156,0.156250,0.156250,0.003301,1612800
1981-04-09,0.169922,0.173828,0.169922,0.169922,0.003590,5657600
1981-04-10,0.169922,0.171875,0.169922,0.169922,0.003590,4864000
1981-04-13,0.167969,0.167969,0.164063,0.164063,0.003467,8230400
1981-04-14,0.164063,0.164063,0.160156,0.160156,0.003384,3225600
1981-04-15,0.171875,0.173828,0.171875,0.171875,0.003632,3276800
1981-04-16,0.173828,0.177734,0.173828,0.173828,0.003673,10444800
1981-04-20,0.173828,0.177734,0.173828,0.173828,0.003673,8179200
1981-04-21,0.173828,0.177734,0.173828,0.173828,0.003673,2419200
1981-04-22,0.175781,0.179688,0.175781,0.175781,0.003714,4454400
1981-04-23,0.175781,0.177734,0.175781,0.175781,0.003714,5734400
1981-04-24,0.169922,0.169922,0.166016,0.166016,0.003508,2496000
1981-04-27,0.166016,0.169922,0.166016,0.166016,0.003508,2112000
1981-04-28,0.166016,0.169922,0.166016,0.166016,0.003508,1523200
1981-04-29,0.166016,0.166016,0.164063,0.164063,0.003467,1280000
1981-04-30,0.164063,0.166016,0.162109,0.162109,0.003425,908800
1981-05-01,0.162109,0.164063,0.162109,0.162109,0.003425,601600
1981-05-04,0.162109,0.164063,0.160156,0.160156,0.003384,3315200
1981-05-05,0.160156,0.162109,0.158203,0.158203,0.003343,1164800
1981-05-06,0.158203,0.162109,0.158203,0.158203,0.003343,678400
1981-05-07,0.160156,0.166016,0.160156,0.160156,0.003384,537600
1981-05-08,0.160156,0.164063,0.160156,0.160156,0.003384,435200
1981-05-11,0.160156,0.160156,0.158203,0.158203,0.003343,1344000
1981-05-12,0.162109,0.167969,0.162109,0.162109,0.003425,1779200
1981-05-13,0.164063,0.167969,0.164063,0.164063,0.003467,1587200
1981-05-14,0.164063,0.166016,0.160156,0.160156,0.003384,768000
1981-05-15,0.160156,0.162109,0.158203,0.158203,0.003343,921600
1981-05-18,0.158203,0.164063,0.158203,0.158203,0.003343,3596800
1981-05-19,0.158203,0.162109,0.158203,0.158203,0.003343,716800
1981-05-20,0.158203,0.164063,0.158203,0.158203,0.003343,1664000
1981-05-21,0.160156,0.166016,0.160156,0.160156,0.003384,1843200
1981-05-22,0.160156,0.166016,0.160156,0.160156,0.003384,588800
1981-05-26,0.164063,0.169922,0.164063,0.164063,0.003467,4812800
1981-05-27,0.169922,0.173828,0.169922,0.169922,0.003590,3942400
1981-05-28,0.177734,0.181641,0.177734,0.177734,0.003755,9100800
1981-05-29,0.177734,0.183594,0.177734,0.177734,0.003755,3699200
1981-06-01,0.183594,0.187500,0.183594,0.183594,0.003879,3302400
1981-06-02,0.185547,0.189453,0.185547,0.185547,0.003920,5849600
1981-06-03,0.185547,0.189453,0.183594,0.183594,0.003879,7692800
1981-06-04,0.183594,0.189453,0.183594,0.183594,0.003879,2905600
1981-06-05,0.185547,0.189453,0.185547,0.185547,0.003920,6080000
1981-06-08,0.185547,0.187500,0.183594,0.183594,0.003879,1856000
1981-06-09,0.183594,0.187500,0.183594,0.183594,0.003879,1164800
1981-06-10,0.185547,0.191406,0.185547,0.185547,0.003920,2521600
1981-06-11,0.187500,0.193359,0.187500,0.187500,0.003962,3904000
1981-06-12,0.189453,0.193359,0.189453,0.189453,0.004003,8691200
1981-06-15,0.191406,0.193359,0.191406,0.191406,0.004044,4108800
1981-06-16,0.193359,0.195313,0.193359,0.193359,0.004086,16704000
1981-06-17,0.193359,0.193359,0.189453,0.189453,0.004003,4070400
1981-06-18,0.181641,0.181641,0.179688,0.179688,0.003797,6924800
1981-06-19,0.181641,0.185547,0.181641,0.181641,0.003838,2329600
1981-06-22,0.181641,0.185547,0.181641,0.181641,0.003838,1766400
1981-06-23,0.191406,0.193359,0.191406,0.191406,0.004044,5337600
1981-06-24,0.189453,0.189453,0.187500,0.187500,0.003962,1561600
1981-06-25,0.187500,0.189453,0.185547,0.185547,0.003920,3635200
1981-06-26,0.185547,0.189453,0.185547,0.185547,0.003920,2944000
1981-06-29,0.185547,0.187500,0.185547,0.185547,0.003920,1088000
1981-06-30,0.185547,0.187500,0.181641,0.181641,0.003838,1024000
1981-07-01,0.183594,0.185547,0.183594,0.183594,0.003879,1728000
1981-07-02,0.185547,0.189453,0.185547,0.185547,0.003920,1139200
1981-07-06,0.185547,0.185547,0.179688,0.179688,0.003797,1356800
1981-07-07,0.173828,0.173828,0.167969,0.167969,0.003549,1459200
1981-07-08,0.167969,0.169922,0.166016,0.166016,0.003508,614400
1981-07-09,0.167969,0.169922,0.167969,0.167969,0.003549,1420800
1981-07-10,0.167969,0.171875,0.166016,0.166016,0.003508,793600
1981-07-13,0.169922,0.173828,0.169922,0.169922,0.003590,1843200
1981-07-14,0.169922,0.173828,0.169922,0.169922,0.003590,896000
1981-07-15,0.173828,0.177734,0.173828,0.173828,0.003673,537600
1981-07-16,0.173828,0.177734,0.173828,0.173828,0.003673,448000
1981-07-17,0.173828,0.177734,0.173828,0.173828,0.003673,192000
1981-07-20,0.169922,0.169922,0.166016,0.166016,0.003508,3404800
1981-07-21,0.166016,0.166016,0.162109,0.162109,0.003425,857600
1981-07-22,0.162109,0.164063,0.162109,0.162109,0.003425,1152000
1981-07-23,0.166016,0.169922,0.166016,0.166016,0.003508,2560000
1981-07-24,0.171875,0.173828,0.171875,0.171875,0.003632,2035200
1981-07-27,0.171875,0.173828,0.169922,0.169922,0.003590,1433600
1981-07-28,0.171875,0.175781,0.171875,0.171875,0.003632,780800
1981-07-29,0.171875,0.171875,0.169922,0.169922,0.003590,1894400
1981-07-30,0.171875,0.173828,0.171875,0.171875,0.003632,2470400
1981-07-31,0.171875,0.173828,0.169922,0.169922,0.003590,524800
1981-08-03,0.167969,0.167969,0.164063,0.164063,0.003467,1420800
1981-08-04,0.164063,0.167969,0.164063,0.164063,0.003467,1100800
1981-08-05,0.162109,0.162109,0.158203,0.158203,0.003343,2163200
1981-08-06,0.158203,0.160156,0.158203,0.158203,0.003343,1318400
1981-08-07,0.158203,0.158203,0.152344,0.152344,0.003219,998400
1981-08-10,0.152344,0.152344,0.152344,0.152344,0.003219,0
1981-08-11,0.162109,0.166016,0.162109,0.162109,0.003425,1241600
1981-08-12,0.164063,0.167969,0.164063,0.164063,0.003467,2764800
1981-08-13,0.164063,0.167969,0.164063,0.164063,0.003467,588800
1981-08-14,0.164063,0.167969,0.164063,0.164063,0.003467,704000
1981-08-17,0.164063,0.166016,0.162109,0.162109,0.003425,2278400
1981-08-18,0.156250,0.156250,0.150391,0.150391,0.003178,1292800
1981-08-19,0.154297,0.158203,0.154297,0.154297,0.003260,883200
1981-08-20,0.154297,0.158203,0.154297,0.154297,0.003260,883200
1981-08-21,0.156250,0.158203,0.156250,0.156250,0.003301,627200
1981-08-24,0.154297,0.154297,0.150391,0.150391,0.003178,1088000
1981-08-25,0.148438,0.148438,0.145508,0.145508,0.003074,358400
1981-08-26,0.148438,0.152344,0.148438,0.148438,0.003136,614400
1981-08-27,0.148438,0.152344,0.148438,0.148438,0.003136,3840000
1981-08-28,0.150391,0.152344,0.150391,0.150391,0.003178,512000
1981-08-31,0.150391,0.152344,0.150391,0.150391,0.003178,1075200
1981-09-01,0.150391,0.152344,0.148438,0.148438,0.003136,1600000
1981-09-02,0.150391,0.152344,0.150391,0.150391,0.003178,1049600
1981-09-03,0.150391,0.152344,0.150391,0.150391,0.003178,704000
1981-09-04,0.150391,0.152344,0.146484,0.146484,0.003095,1177600
1981-09-08,0.146484,0.150391,0.144531,0.144531,0.003054,1267200
1981-09-09,0.146484,0.152344,0.146484,0.146484,0.003095,179200
1981-09-10,0.150391,0.154297,0.150391,0.150391,0.003178,1907200
1981-09-11,0.154297,0.160156,0.154297,0.154297,0.003260,640000
1981-09-14,0.158203,0.164063,0.158203,0.158203,0.003343,396800
1981-09-15,0.166016,0.169922,0.166016,0.166016,0.003508,2995200
1981-09-16,0.160156,0.160156,0.156250,0.156250,0.003301,1881600
1981-09-17,0.156250,0.158203,0.154297,0.154297,0.003260,1651200
1981-09-18,0.154297,0.158203,0.154297,0.154297,0.003260,320000
1981-09-21,0.156250,0.158203,0.156250,0.156250,0.003301,934400
1981-09-22,0.156250,0.156250,0.150391,0.150391,0.003178,985600
1981-09-23,0.150391,0.152344,0.150391,0.150391,0.003178,1817600
1981-09-24,0.150391,0.154297,0.150391,0.150391,0.003178,1612800
1981-09-25,0.150391,0.150391,0.146484,0.146484,0.003095,2355200
1981-09-28,0.146484,0.146484,0.144531,0.144531,0.003054,3532800
1981-09-29,0.146484,0.148438,0.146484,0.146484,0.003095,678400
1981-09-30,0.148438,0.150391,0.148438,0.148438,0.003136,1305600
1981-10-01,0.148438,0.152344,0.148438,0.148438,0.003136,217600
1981-10-02,0.152344,0.156250,0.152344,0.152344,0.003219,896000
1981-10-05,0.156250,0.160156,0.156250,0.156250,0.003301,1318400
1981-10-06,0.156250,0.158203,0.154297,0.154297,0.003260,1459200
1981-10-07,0.154297,0.158203,0.154297,0.154297,0.003260,409600
1981-10-08,0.156250,0.160156,0.156250,0.156250,0.003301,1216000
1981-10-09,0.152344,0.152344,0.146484,0.146484,0.003095,1088000
1981-10-12,0.154297,0.156250,0.154297,0.154297,0.003260,2304000
1981-10-13,0.169922,0.173828,0.169922,0.169922,0.003590,6976000
1981-10-14,0.175781,0.177734,0.175781,0.175781,0.003714,17088000
1981-10-15,0.175781,0.179688,0.175781,0.175781,0.003714,4262400
1981-10-16,0.177734,0.181641,0.177734,0.177734,0.003755,4032000
1981-10-19,0.183594,0.187500,0.183594,0.183594,0.003879,2496000
1981-10-20,0.187500,0.191406,0.187500,0.187500,0.003962,31961600
1981-10-21,0.191406,0.193359,0.191406,0.191406,0.004044,4915200
1981-10-22,0.191406,0.193359,0.189453,0.189453,0.004003,7232000
1981-10-23,0.189453,0.191406,0.187500,0.187500,0.003962,3865600
1981-10-26,0.187500,0.191406,0.187500,0.187500,0.003962,3251200
1981-10-27,0.191406,0.197266,0.191406,0.191406,0.004044,2483200
1981-10-28,0.205078,0.210938,0.205078,0.205078,0.004333,5785600
1981-10-29,0.208984,0.210938,0.208984,0.208984,0.004416,10649600
1981-10-30,0.208984,0.208984,0.207031,0.207031,0.004374,6988800
1981-11-02,0.207031,0.207031,0.201172,0.201172,0.004251,3699200
1981-11-03,0.203125,0.207031,0.203125,0.203125,0.004292,2291200
1981-11-04,0.203125,0.207031,0.203125,0.203125,0.004292,6604800
1981-11-05,0.203125,0.205078,0.203125,0.203125,0.004292,5273600
1981-11-06,0.203125,0.203125,0.199219,0.199219,0.004209,908800
1981-11-09,0.201172,0.203125,0.201172,0.201172,0.004251,2406400
1981-11-10,0.203125,0.205078,0.203125,0.203125,0.004292,2124800
1981-11-11,0.205078,0.208984,0.205078,0.205078,0.004333,5043200
1981-11-12,0.212891,0.214844,0.212891,0.212891,0.004498,8755200
1981-11-13,0.212891,0.214844,0.210938,0.210938,0.004457,5977600
1981-11-16,0.210938,0.210938,0.207031,0.207031,0.004374,4147200
1981-11-17,0.207031,0.208984,0.205078,0.205078,0.004333,3084800
1981-11-18,0.205078,0.207031,0.203125,0.203125,0.004292,2790400
1981-11-19,0.206055,0.208984,0.206055,0.206055,0.004354,1049600
1981-11-20,0.207031,0.210938,0.207031,0.207031,0.004374,3020800
1981-11-23,0.207031,0.210938,0.207031,0.207031,0.004374,1497600
1981-11-24,0.210938,0.214844,0.210938,0.210938,0.004457,2060800
1981-11-25,0.212891,0.214844,0.212891,0.212891,0.004498,3379200
1981-11-27,0.214844,0.218750,0.214844,0.214844,0.004540,2035200
1981-11-30,0.216797,0.220703,0.216797,0.216797,0.004581,1600000
1981-12-01,0.222656,0.226563,0.222656,0.222656,0.004705,3392000
1981-12-02,0.222656,0.224609,0.222656,0.222656,0.004705,5337600
1981-12-03,0.220703,0.220703,0.218750,0.218750,0.004622,3686400
1981-12-04,0.218750,0.222656,0.218750,0.218750,0.004622,1446400
1981-12-07,0.218750,0.220703,0.218750,0.218750,0.004622,2124800
1981-12-08,0.218750,0.220703,0.216797,0.216797,0.004581,1920000
1981-12-09,0.216797,0.218750,0.214844,0.214844,0.004540,1420800
1981-12-10,0.214844,0.218750,0.214844,0.214844,0.004540,921600
1981-12-11,0.214844,0.218750,0.214844,0.214844,0.004540,1664000
1981-12-14,0.214844,0.216797,0.212891,0.212891,0.004498,1945600
1981-12-15,0.214844,0.216797,0.214844,0.214844,0.004540,1459200
1981-12-16,0.214844,0.216797,0.214844,0.214844,0.004540,2470400
1981-12-17,0.214844,0.216797,0.214844,0.214844,0.004540,2112000
1981-12-18,0.218750,0.222656,0.218750,0.218750,0.004622,2048000
1981-12-21,0.218750,0.220703,0.216797,0.216797,0.004581,972800
1981-12-22,0.216797,0.216797,0.214844,0.214844,0.004540,1113600
1981-12-23,0.214844,0.218750,0.214844,0.214844,0.004540,2419200
1981-12-24,0.214844,0.216797,0.210938,0.210938,0.004457,3955200
1981-12-28,0.210938,0.216797,0.210938,0.210938,0.004457,1024000
1981-12-29,0.212891,0.216797,0.212891,0.212891,0.004498,1728000
1981-12-30,0.222656,0.226563,0.222656,0.222656,0.004705,4441600
1981-12-31,0.222656,0.222656,0.220703,0.220703,0.004663,4864000
1982-01-04,0.220703,0.224609,0.220703,0.220703,0.004663,4531200
1982-01-05,0.218750,0.218750,0.214844,0.214844,0.004540,2777600
1982-01-06,0.212891,0.212891,0.210938,0.210938,0.004457,3212800
1982-01-07,0.212891,0.216797,0.212891,0.212891,0.004498,5606400
1982-01-08,0.222656,0.224609,0.222656,0.222656,0.004705,3955200
1982-01-11,0.224609,0.228516,0.224609,0.224609,0.004746,8294400
1982-01-12,0.228516,0.232422,0.228516,0.228516,0.004828,1651200
1982-01-13,0.228516,0.228516,0.222656,0.222656,0.004705,2752000
1982-01-14,0.224609,0.226563,0.224609,0.224609,0.004746,4211200
1982-01-15,0.224609,0.228516,0.224609,0.224609,0.004746,5196800
1982-01-18,0.226563,0.230469,0.226563,0.226563,0.004787,6681600
1982-01-19,0.226563,0.226563,0.222656,0.222656,0.004705,6348800
1982-01-20,0.222656,0.222656,0.220703,0.220703,0.004663,3404800
1982-01-21,0.222656,0.224609,0.222656,0.222656,0.004705,3404800
1982-01-22,0.222656,0.224609,0.220703,0.220703,0.004663,3430400
1982-01-25,0.218750,0.218750,0.214844,0.214844,0.004540,3174400
1982-01-26,0.216797,0.220703,0.216797,0.216797,0.004581,832000
1982-01-27,0.216797,0.218750,0.216797,0.216797,0.004581,1638400
1982-01-28,0.218750,0.222656,0.218750,0.218750,0.004622,3507200
1982-01-29,0.228516,0.230469,0.228516,0.228516,0.004828,6323200
1982-02-01,0.228516,0.228516,0.226563,0.226563,0.004787,2112000
1982-02-02,0.228516,0.232422,0.228516,0.228516,0.004828,2419200
1982-02-03,0.232422,0.234375,0.232422,0.232422,0.004911,6182400
1982-02-04,0.234375,0.238281,0.234375,0.234375,0.004952,7577600
1982-02-05,0.237305,0.238281,0.237305,0.237305,0.005014,10406400
1982-02-08,0.234375,0.234375,0.230469,0.230469,0.004870,2700800
1982-02-09,0.226563,0.226563,0.224609,0.224609,0.004746,4441600
1982-02-10,0.224609,0.225586,0.224609,0.224609,0.004746,4544000
1982-02-11,0.224609,0.226563,0.224609,0.224609,0.004746,1088000
1982-02-12,0.224609,0.225586,0.223633,0.223633,0.004725,601600
1982-02-16,0.220703,0.220703,0.218750,0.218750,0.004622,2419200
1982-02-17,0.220703,0.222656,0.220703,0.220703,0.004663,2611200
1982-02-18,0.222656,0.223633,0.222656,0.222656,0.004705,3430400
1982-02-19,0.222656,0.224609,0.222656,0.222656,0.004705,1484800
1982-02-22,0.223633,0.225586,0.223633,0.223633,0.004725,4774400
1982-02-23,0.218750,0.218750,0.217773,0.217773,0.004601,3660800
1982-02-24,0.217773,0.218750,0.216797,0.216797,0.004581,1190400
1982-02-25,0.221680,0.224609,0.221680,0.221680,0.004684,2611200
1982-02-26,0.221680,0.223633,0.221680,0.221680,0.004684,2483200
1982-03-01,0.221680,0.223633,0.221680,0.221680,0.004684,23270400
1982-03-02,0.222656,0.225586,0.222656,0.222656,0.004705,1152000
1982-03-03,0.222656,0.225586,0.222656,0.222656,0.004705,1203200
1982-03-04,0.222656,0.223633,0.221680,0.221680,0.004684,960000
1982-03-05,0.222656,0.224609,0.222656,0.222656,0.004705,729600
1982-03-08,0.220703,0.220703,0.217773,0.217773,0.004601,4851200
1982-03-09,0.201172,0.201172,0.199219,0.199219,0.004209,7372800
1982-03-10,0.206055,0.208008,0.206055,0.206055,0.004354,6169600
