Date,Open,High,Low,Close,Adj Close,Volume
1987-06-26,0.718750,0.750000,0.718750,0.742188,0.273890,46172800
1987-06-29,0.742188,0.746094,0.738281,0.742188,0.273890,6297600
1987-06-30,0.753906,0.792969,0.753906,0.773438,0.285423,15328000
1987-07-01,0.773438,0.785156,0.765625,0.781250,0.288305,5788800
1987-07-02,0.781250,0.789063,0.781250,0.785156,0.289747,2870400
1987-07-06,0.789063,0.835938,0.789063,0.820313,0.302721,9600000
1987-07-07,0.820313,0.835938,0.800781,0.800781,0.295513,7187200
1987-07-08,0.800781,0.808594,0.789063,0.796875,0.294072,1392000
1987-07-09,0.796875,0.859375,0.796875,0.835938,0.308487,7923200
1987-07-10,0.835938,0.875000,0.828125,0.847656,0.312812,4115200
1987-07-13,0.847656,0.847656,0.839844,0.839844,0.309928,796800
1987-07-14,0.839844,0.843750,0.816406,0.824219,0.304162,2032000
1987-07-15,0.824219,0.824219,0.796875,0.796875,0.294072,2009600
1987-07-16,0.796875,0.804688,0.789063,0.800781,0.295513,1497600
1987-07-17,0.800781,0.800781,0.777344,0.789063,0.291188,1084800
1987-07-20,0.789063,0.800781,0.750000,0.765625,0.282539,1344000
1987-07-21,0.765625,0.773438,0.753906,0.765625,0.282539,5465600
1987-07-22,0.765625,0.773438,0.761719,0.769531,0.283981,2220800
1987-07-23,0.769531,0.773438,0.757813,0.757813,0.279656,1318400
1987-07-24,0.757813,0.769531,0.753906,0.765625,0.282539,2217600
1987-07-27,0.765625,0.789063,0.761719,0.789063,0.291188,771200
1987-07-28,0.789063,0.800781,0.773438,0.773438,0.285423,1510400
1987-07-29,0.773438,0.781250,0.746094,0.757813,0.279656,2720000
1987-07-30,0.757813,0.781250,0.757813,0.781250,0.288305,4124800
1987-07-31,0.781250,0.789063,0.765625,0.765625,0.282539,1155200
1987-08-03,0.765625,0.773438,0.757813,0.769531,0.283981,2064000
1987-08-04,0.769531,0.769531,0.761719,0.769531,0.283981,793600
1987-08-05,0.769531,0.792969,0.769531,0.792969,0.292630,1100800
1987-08-06,0.792969,0.804688,0.777344,0.804688,0.296955,2630400
1987-08-07,0.804688,0.812500,0.796875,0.812500,0.301009,1011200
1987-08-10,0.812500,0.812500,0.789063,0.808594,0.299562,5081600
1987-08-11,0.808594,0.812500,0.781250,0.804688,0.298979,835200
1987-08-12,0.804688,0.808594,0.785156,0.792969,0.294625,854400
1987-08-13,0.792969,0.800781,0.781250,0.785156,0.291723,742400
1987-08-14,0.781250,0.781250,0.765625,0.777344,0.288820,1420800
1987-08-17,0.777344,0.785156,0.734375,0.746094,0.277209,3948800
1987-08-18,0.746094,0.750000,0.695313,0.742188,0.275758,3164800
1987-08-19,0.742188,0.765625,0.742188,0.753906,0.280112,2752000
1987-08-20,0.753906,0.761719,0.750000,0.761719,0.283015,2534400
1987-08-21,0.761719,0.773438,0.757813,0.773438,0.287369,342400
1987-08-24,0.773438,0.773438,0.765625,0.769531,0.285917,291200
1987-08-25,0.769531,0.781250,0.769531,0.773438,0.287369,608000
1987-08-26,0.781250,0.804688,0.781250,0.781250,0.290271,2844800
1987-08-27,0.781250,0.792969,0.777344,0.781250,0.290271,1852800
1987-08-28,0.781250,0.781250,0.765625,0.765625,0.284466,2803200
1987-08-31,0.765625,0.777344,0.765625,0.777344,0.288820,992000
1987-09-01,0.777344,0.777344,0.765625,0.773438,0.287369,2016000
1987-09-02,0.773438,0.781250,0.765625,0.773438,0.287369,2310400
1987-09-03,0.773438,0.796875,0.773438,0.796875,0.296077,1619200
1987-09-04,0.796875,0.800781,0.789063,0.789063,0.293174,1600000
1987-09-08,0.789063,0.792969,0.765625,0.777344,0.288820,1254400
1987-09-09,0.777344,0.785156,0.769531,0.781250,0.290271,192000
1987-09-10,0.781250,0.789063,0.765625,0.765625,0.284466,518400
1987-09-11,0.765625,0.773438,0.761719,0.773438,0.287369,537600
1987-09-14,0.773438,0.777344,0.765625,0.765625,0.284466,358400
1987-09-15,0.765625,0.765625,0.753906,0.753906,0.280112,396800
1987-09-16,0.753906,0.753906,0.750000,0.750000,0.278660,1859200
1987-09-17,0.746094,0.746094,0.726563,0.726563,0.269952,2012800
1987-09-18,0.726563,0.726563,0.710938,0.710938,0.264147,4364800
1987-09-21,0.710938,0.714844,0.617188,0.625000,0.232217,9635200
1987-09-22,0.625000,0.656250,0.613281,0.656250,0.243828,14480000
1987-09-23,0.664063,0.710938,0.664063,0.703125,0.261244,4144000
1987-09-24,0.703125,0.714844,0.703125,0.710938,0.264147,288000
1987-09-25,0.710938,0.710938,0.687500,0.687500,0.255439,3948800
1987-09-28,0.687500,0.687500,0.671875,0.675781,0.251085,1337600
1987-09-29,0.675781,0.691406,0.675781,0.675781,0.251085,1193600
1987-09-30,0.675781,0.683594,0.675781,0.679688,0.252536,368000
1987-10-01,0.675781,0.675781,0.671875,0.675781,0.251085,2012800
1987-10-02,0.675781,0.679688,0.671875,0.671875,0.249633,2643200
1987-10-05,0.671875,0.722656,0.667969,0.691406,0.256890,3097600
1987-10-06,0.691406,0.695313,0.679688,0.679688,0.252536,1004800
1987-10-07,0.675781,0.675781,0.640625,0.652344,0.242377,400000
1987-10-08,0.640625,0.640625,0.609375,0.613281,0.227863,4620800
1987-10-09,0.613281,0.613281,0.601563,0.605469,0.224960,1401600
1987-10-12,0.593750,0.593750,0.554688,0.554688,0.206093,1193600
1987-10-13,0.558594,0.578125,0.558594,0.562500,0.208995,3104000
1987-10-14,0.562500,0.562500,0.554688,0.562500,0.208995,2124800
1987-10-15,0.554688,0.554688,0.535156,0.554688,0.206093,1875200
1987-10-16,0.554688,0.554688,0.535156,0.535156,0.198836,1424000
