Date,Open,High,Low,Close,Adj Close,Volume
1980-12-12,5.250000,5.375000,5.250000,5.250000,4.246598,201400
1980-12-15,5.375000,5.437500,5.375000,5.375000,4.347707,49800
1980-12-16,5.375000,5.437500,5.375000,5.375000,4.347707,106600
1980-12-17,5.562500,5.687500,5.562500,5.562500,4.499370,118400
1980-12-18,5.625000,5.687500,5.625000,5.625000,4.549925,69000
1980-12-19,5.625000,5.625000,5.500000,5.500000,4.448816,51600
1980-12-22,5.125000,5.125000,5.062500,5.062500,4.094932,193000
1980-12-23,5.000000,5.000000,4.875000,4.875000,3.943269,141400
1980-12-24,4.875000,5.000000,4.875000,4.875000,3.943269,57200
1980-12-26,5.000000,5.125000,5.000000,5.000000,4.044379,39800
1980-12-29,5.000000,5.062500,5.000000,5.000000,4.044379,156000
1980-12-30,4.812500,4.812500,4.687500,4.687500,3.791605,160800
1980-12-31,4.937500,5.000000,4.937500,4.937500,3.993823,453400
1981-01-02,5.437500,5.562500,5.437500,5.437500,4.398262,199200
1981-01-05,5.875000,5.937500,5.875000,5.875000,4.752144,194400
1981-01-06,5.875000,6.000000,5.875000,5.875000,4.752144,193200
1981-01-07,5.500000,5.500000,5.437500,5.437500,4.398262,350200
1981-01-08,5.375000,5.375000,5.250000,5.250000,4.246598,125400
1981-01-09,5.375000,5.500000,5.375000,5.375000,4.347707,105000
1981-01-12,5.375000,5.437500,5.375000,5.375000,4.347707,147000
1981-01-13,5.437500,5.500000,5.437500,5.437500,4.398262,149400
1981-01-14,5.625000,5.687500,5.625000,5.625000,4.549925,105200
1981-01-15,6.062500,6.125000,6.062500,6.062500,4.903809,142200
1981-01-16,6.062500,6.062500,5.937500,5.937500,4.802700,161400
1981-01-19,5.937500,6.000000,5.937500,5.937500,4.802700,100800
1981-01-20,5.937500,5.937500,5.812500,5.812500,4.701590,157600
1981-01-21,5.812500,5.812500,5.750000,5.750000,4.651035,156800
1981-01-22,5.812500,5.875000,5.812500,5.812500,4.701590,88400
1981-01-23,6.000000,6.062500,6.000000,6.000000,4.853255,77000
1981-01-26,5.937500,5.937500,5.875000,5.875000,4.752144,153600
1981-01-27,5.750000,5.750000,5.687500,5.687500,4.600480,125000
1981-01-28,5.625000,5.625000,5.562500,5.562500,4.499370,210800
1981-01-29,5.562500,5.562500,5.437500,5.437500,4.398262,68600
1981-01-30,5.187500,5.187500,5.062500,5.062500,4.094932,201200
1981-02-02,4.875000,4.875000,4.750000,4.750000,3.842159,230400
1981-02-03,5.000000,5.125000,5.000000,5.000000,4.044379,171400
1981-02-04,5.250000,5.375000,5.250000,5.250000,4.246598,154400
1981-02-05,5.250000,5.250000,5.125000,5.125000,4.145488,51200
1981-02-06,5.250000,5.375000,5.250000,5.250000,4.246598,46600
1981-02-09,5.125000,5.125000,5.000000,5.000000,4.044379,74600
1981-02-10,5.062500,5.187500,5.062500,5.062500,4.094932,73000
1981-02-11,5.062500,5.062500,4.937500,4.937500,3.993823,96000
1981-02-12,4.937500,5.000000,4.875000,4.875000,3.943269,63800
1981-02-13,4.875000,4.875000,4.812500,4.812500,3.892714,47400
1981-02-17,4.812500,4.937500,4.812500,4.812500,3.892714,90600
1981-02-18,5.000000,5.062500,5.000000,5.000000,4.044379,96000
1981-02-19,4.937500,4.937500,4.875000,4.875000,3.943269,56800
1981-02-20,4.875000,4.937500,4.875000,4.875000,3.943269,56000
1981-02-23,4.937500,5.000000,4.937500,4.937500,3.993823,152600
1981-02-24,5.062500,5.125000,5.062500,5.062500,4.094932,173600
1981-02-25,4.812500,4.812500,4.750000,4.750000,3.842159,296800
1981-02-26,4.625000,4.625000,4.562500,4.562500,3.690495,171800
1981-02-27,4.625000,4.687500,4.625000,4.625000,3.741050,145600
1981-03-02,4.500000,4.500000,4.437500,4.437500,3.589386,268400
1981-03-03,4.625000,4.687500,4.625000,4.625000,3.741050,342800
1981-03-04,4.812500,4.875000,4.812500,4.812500,3.892714,129400
1981-03-05,5.000000,5.125000,5.000000,5.000000,4.044379,188800
1981-03-06,5.062500,5.125000,5.062500,5.062500,4.094932,62800
1981-03-09,5.062500,5.125000,5.000000,5.000000,4.044379,83800
1981-03-10,4.937500,4.937500,4.875000,4.875000,3.943269,66000
1981-03-11,4.812500,4.812500,4.750000,4.750000,3.842159,70400
1981-03-12,5.062500,5.125000,5.062500,5.062500,4.094932,170000
1981-03-13,5.062500,5.062500,5.000000,5.000000,4.044379,43400
1981-03-16,5.062500,5.125000,5.062500,5.062500,4.094932,124200
